measured_packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,measured_jitter_ms,latency_range_ms,latency_variability_ms,latency_ratio,loss_difference_percent,loss_ratio,jitter_latency_ratio,condition
4.0,277.0,306.292,344.0,20.116,67.0,37.70800000000003,1.1057472924187726,-1.0,0.8,0.0656758909798493,Poor
6.0,274.0,309.223,349.0,19.978,75.0,39.77699999999999,1.128551094890511,1.0,1.2,0.0646070958499206,Poor
8.0,278.0,313.793,365.0,21.363,87.0,51.207,1.128751798561151,3.0,1.6,0.0680799125538173,Poor
5.0,277.0,312.611,486.0,29.904,209.0,173.389,1.1285595667870036,0.0,1.0,0.0956588219864304,Poor
2.0,274.0,313.418,425.0,24.546,151.0,111.582,1.1438613138686131,-3.0,0.4,0.0783171355825128,Poor
6.0,326.0,365.394,548.0,27.204,222.0,182.606,1.120840490797546,-2.0,0.75,0.0744511404128146,Very Poor
12.0,321.0,354.75,404.0,22.471,83.0,49.25,1.105140186915888,4.0,1.5,0.0633431994362226,Very Poor
10.0,321.0,360.389,467.0,24.056,146.0,106.611,1.1227071651090343,2.0,1.25,0.066750095036197,Very Poor
5.0,326.0,369.126,496.0,33.138,170.0,126.87400000000002,1.1322883435582822,-3.0,0.625,0.0897742234358999,Very Poor
5.0,324.0,369.505,565.0,37.074,241.0,195.495,1.1404475308641977,-3.0,0.625,0.1003342309305692,Very Poor
9.0,406.0,466.066,667.0,39.222,261.0,200.93400000000003,1.1479458128078817,-1.0,0.9,0.0841554629601816,Very Poor
11.0,406.0,470.18,713.0,53.375,307.0,242.82,1.1580788177339902,1.0,1.1,0.1135203539070143,Very Poor
16.0,411.0,464.738,604.0,35.831,193.0,139.262,1.130749391727494,6.0,1.6,0.0770993549053445,Very Poor
16.0,409.0,470.464,638.0,52.337,229.0,167.536,1.150278728606357,6.0,1.6,0.1112454938103659,Very Poor
13.0,403.0,474.241,1093.0,58.814,690.0,618.759,1.1767766749379651,3.0,1.3,0.1240171136616193,Very Poor
14.0,404.0,455.616,556.0,33.482,152.0,100.384,1.1277623762376237,-1.0,0.9333333333333332,0.0734873226576766,Very Poor
20.0,409.0,469.5,634.0,49.456,225.0,164.5,1.147921760391198,5.0,1.3333333333333333,0.1053375931842385,Very Poor
14.0,409.0,463.547,539.0,33.859,130.0,75.45299999999997,1.1333667481662593,-1.0,0.9333333333333332,0.0730432944232192,Very Poor
19.0,409.0,465.012,532.0,33.938,123.0,66.988,1.1369486552567236,4.0,1.2666666666666666,0.0729830628026803,Very Poor
16.0,403.0,460.536,603.0,37.349,200.0,142.464,1.1427692307692308,1.0,1.0666666666666669,0.0810989803185853,Very Poor
13.0,324.0,368.069,430.0,25.337,106.0,61.93099999999998,1.1360154320987654,3.0,1.3,0.0688376364214318,Very Poor
11.0,320.0,352.461,401.0,19.966,81.0,48.53899999999999,1.101440625,1.0,1.1,0.0566474021239229,Very Poor
11.0,329.0,361.809,412.0,21.318,83.0,50.19099999999997,1.0997234042553192,1.0,1.1,0.0589205906984071,Very Poor
10.0,319.0,361.333,501.0,29.708,182.0,139.66699999999997,1.1327053291536051,0.0,1.0,0.0822177880237896,Very Poor
8.0,326.0,361.011,472.0,26.527,146.0,110.98899999999998,1.1073957055214725,-2.0,0.8,0.0734797554645149,Very Poor
22.0,407.0,463.295,604.0,38.234,197.0,140.70499999999998,1.1383169533169533,7.0,1.4666666666666666,0.0825262521719422,Very Poor
12.0,405.0,461.943,521.0,31.046,116.0,59.057000000000016,1.1406,-3.0,0.8,0.0672074260244229,Very Poor
17.0,402.0,460.952,538.0,37.524,136.0,77.048,1.1466467661691542,2.0,1.1333333333333333,0.0814054391780489,Very Poor
19.0,413.0,475.778,608.0,41.587,195.0,132.22199999999998,1.1520048426150122,4.0,1.2666666666666666,0.0874084131674856,Very Poor
23.0,410.0,466.143,628.0,45.487,218.0,161.85700000000003,1.1369341463414633,8.0,1.5333333333333334,0.0975816434012738,Very Poor
