timestamp,packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,latency_range_ms
2026-09-15 15:46:18,0.0,31.8,42.5,60.1,12.367,28.3
2026-09-15 15:46:32,0.0,34.6,79.35,276.0,60.644,241.4
2026-09-15 15:46:51,0.0,29.0,41.65,61.1,10.244,32.1
2026-09-15 15:47:05,0.0,28.2,54.46,105.0,29.056,76.8
2026-09-15 15:47:21,0.0,33.8,48.69,74.9,17.222,41.1
2026-09-15 15:47:36,0.0,33.3,51.0,86.9,16.867,53.6
2026-09-15 15:47:50,0.0,34.5,58.15,105.0,24.456,70.5
2026-09-15 15:48:06,0.0,28.4,38.25,60.8,16.111,32.4
2026-09-15 15:48:24,0.0,30.8,41.55,51.3,7.567,20.5
2026-09-15 15:48:43,0.0,30.0,42.8,63.7,10.867,33.7
2026-09-15 15:48:57,0.0,28.2,31.4,36.1,3.044,7.9
2026-09-15 15:49:17,0.0,29.7,34.66,41.1,4.6,11.4
2026-09-15 15:49:33,0.0,30.4,50.67,197.0,40.033,166.6
2026-09-15 15:49:47,0.0,30.3,36.69,39.9,3.833,9.6
2026-09-15 15:50:02,0.0,30.0,33.4,38.8,2.978,8.8
2026-09-15 15:50:20,0.0,27.1,32.36,39.1,7.478,12.0
2026-09-15 15:50:35,0.0,30.0,49.02,69.5,19.844,39.5
2026-09-15 15:50:49,0.0,28.6,51.5,199.0,40.867,170.4
2026-09-15 15:51:04,0.0,29.0,31.95,34.9,2.089,5.9
2026-09-15 15:51:19,0.0,31.3,33.43,36.9,2.211,5.6
2026-09-15 15:51:35,0.0,33.5,35.46,38.5,2.433,5.0
2026-09-15 15:51:49,0.0,30.6,34.11,41.7,4.144,11.1
2026-09-15 15:52:04,0.0,31.3,34.16,35.9,1.6,4.6
2026-09-15 15:52:18,0.0,29.4,50.08,215.0,21.389,185.6
